GEOID,Weighted Population,stations,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,%of commercial landuse,%of education landuse,%of industrial landuse,%of other landuse,%of parkland landuse,%of primary production landuse,%of residential landuse,%of transport landuse,%of water landuse,Weekly household income,Household median age
36005006301,7053,24,73064.59987939094,0.0,3.349904397705545,482.0,3.636918890180574,3.111286841742611,2.72188895760602,31.9939800407083,17.54184235971093,0.0,6.629571575173661,32.3692490761029,1.995262258775011,1152.38,35.7
36005006302,0,12,72888.77691200284,0.0,3.0372093023255813,185.0,0.0,2.028793038112787,0.0,32.721078579639325,38.587905031176405,0.0,0.0,26.66222335107149,0.0,0.0,0.0
36005006400,4194,4,89429.31348569192,0.0,3.518181818181818,105.0,0.0,0.5962225971469716,0.0,28.02646921870401,25.657567287649616,0.0,25.91888274804477,19.80085814845463,0.0,796.71,30.7
36005006500,5024,19,56441.34104566774,0.0,3.391304347826087,125.0,7.09842118474296,12.648430420379496,0.3380639098278661,26.87298733284094,14.791977911166166,0.0,18.675155814955435,19.574963426087127,0.0,437.31,33.7
36005006700,7664,4,57504.68293531068,0.0,3.4285714285714284,110.0,1.6692964463057711,4.392139976342116,0.0540605400934312,33.4104224044946,22.67800606294169,0.0,21.260049565998088,16.536025003824307,0.0,580.6,32.0
36005006800,2542,6,85300.79573021071,0.0,3.657142857142857,104.0,2.897530890254459,1.0436538132062665,0.0,29.731541941695696,26.32623331461532,0.0,20.532197402728727,19.468842637499534,0.0,625.96,32.7
36005006900,6077,5,65421.32546749396,0.0,3.3394495412844036,96.0,0.2214709451719123,3.5947069273739096,0.0,28.79268522428817,27.748462794175985,0.0,21.495440440140182,18.147233668849836,0.0,511.69,35.2
36005007000,4408,6,85013.9733475769,0.0,3.6859504132231407,116.0,1.569281256808312,1.565409708812017,0.0,33.25235897359523,23.219312376691743,0.0,26.78438350816334,13.609254175929353,0.0,777.25,35.4
36005007100,2805,10,67877.89320928323,0.0,3.2777777777777777,145.0,3.4514225662387608,7.41115067763375,0.5298287910889317,33.721893141280546,19.40341871681649,0.0,12.176543764526642,23.30574234241488,0.0,445.15,39.3
36005007200,4845,18,89696.48524335682,0.0,3.4529411764705884,158.0,3.099049670048963,0.7919308051999452,0.0,34.193920682737705,17.191450877111397,0.0,25.58692479846664,19.13672316643536,0.0,1120.08,41.7
36005007300,4325,6,22091.5263781301,0.0,3.09375,29.0,1.296869907201136,9.711921800208009,0.5485813569155152,29.98897322879343,22.538172339648195,0.0,15.868044155500968,20.047437211732753,0.0,576.5,28.6
36005007400,3280,6,103620.92913861082,0.0,3.401639344262295,120.0,0.0,1.5886448751730846,0.0,34.54561370148004,29.1758857169212,0.0,18.01816366035319,16.67169204607248,0.0,1333.9,33.3
